type,id,author,editor,advisor,note,abstract,observaoes,GUI é o foco do estudo,ContextoProcessosDeNegocio,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,228360,Shiro  Kawai and Hitoshi  Aida and Tadao  Saito,,,,,,,,Designing Interface Toolkit with Dynamic Selectable Modality,72--79,,8,"graphical user interface, multi-modal interface, user interface management system",10.1145/228347.228360,,,,,,,1996,,Proceedings of the Second Annual ACM Conference on Assistive Technologies,Assets '96,,0-89791-776-6,"Vancouver, British Columbia, Canada",ACM,"New York, NY, USA"
article,1189752,Qing  Xie and Atif M. Memon,,,,,,,,Designing and Comparing Automated Test Oracles for GUI-based Software Applications,,4,,"GUI state, GUI testing, Test oracles, graphical user interfaces, user interfaces, widgets",10.1145/1189748.1189752,ACM Trans. Softw. Eng. Methodol.,February 2007,16,1,,February,2007,1049-331X,,,,,,ACM,"New York, NY, USA"
article,2468583,Bastian  Pfleging and Niels  Henze and Albrecht  Schmidt and Dominique  Rau and Bastian  Reitschuster,,,,,,,,Influence of Subliminal Cueing on Visual Search Tasks,1269--1274,,6,"graphical user interface, subliminal cues, user guidance",10.1145/2468356.2468583,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA"
article,192443,W. Keith Edwards and Elizabeth D. Mynatt,,,,,,,,An Architecture for Transforming Graphical Interfaces,39--47,,9,"GUIs, X, auditory interfaces, multimodal interfaces, visual impairment",10.1145/192426.192443,,,,,,,1994,,Proceedings of the 7th Annual ACM Symposium on User Interface Software and Technology,UIST '94,,0-89791-657-3,"Marina del Rey, California, USA",ACM,"New York, NY, USA"
article,1125708,Leila  Takayama and Eser  Kandogan,,,,,,,,Trust As an Underlying Factor of System Administrator Interface Choice,1391--1396,,6,"command-line interfaces, graphical user interfaces, system administration, trust",10.1145/1125451.1125708,,,,,,,2006,,CHI '06 Extended Abstracts on Human Factors in Computing Systems,CHI EA '06,,1-59593-298-4,"Montr&#233;al, Qu&#233;bec, Canada",ACM,"New York, NY, USA"
article,503114,Melody Y. Ivory and Marti A Hearst,,,,,,,,The State of the Art in Automating Usability Evaluation of User Interfaces,470--516,,47,"Graphical user interfaces, taxonomy, usability evaluation automation, web interfaces",10.1145/503112.503114,ACM Comput. Surv.,December 2001,33,4,,December,2001,0360-0300,,,,,,ACM,"New York, NY, USA"
article,1185782,Takeo  Igarashi and John F. Hughes,,,,,,,,Clothing Manipulation,,21,,"clothing, user interface",10.1145/1185657.1185782,,,,,,,2006,,ACM SIGGRAPH 2006 Courses,SIGGRAPH '06,,1-59593-364-6,"Boston, Massachusetts",ACM,"New York, NY, USA"
article,169407,A. Brady Farrand,,,,,,,,"Common Elements in Today's Graphical User Interfaces: The Good, the Bad, and the Ugly",470--473,,4,"common GUI, design esthetics, graphical user interface design",10.1145/169059.169407,,,,,,,1993,,Proceedings of the INTERACT '93 and CHI '93 Conference on Human Factors in Computing Systems,CHI '93,,0-89791-575-5,"Amsterdam, The Netherlands",ACM,"New York, NY, USA"
article,2479631,Pramod  Verma,,,,,,,,Gracoli: A Graphical Command Line User Interface,3143--3146,,4,"command line interface, gracoli",10.1145/2468356.2479631,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA"
article,1067593,Rui  Pais and Jo&#227;o Paulo Barros,,,,,,,,Use of Flash Movies for Teaching GUI Programming,390--390,,1,"IDE, class libraries, frameworks, graphical user interfaces",10.1145/1151954.1067593,SIGCSE Bull.,September 2005,37,3,,June,2005,0097-8418,,,,,,ACM,"New York, NY, USA"
article,1067593,Rui  Pais and Jo&#227;o Paulo Barros,,,,,,,,Use of Flash Movies for Teaching GUI Programming,390--390,,1,"IDE, class libraries, frameworks, graphical user interfaces",10.1145/1067445.1067593,,,,,,,2005,,Proceedings of the 10th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '05,,1-59593-024-8,"Caparica, Portugal",ACM,"New York, NY, USA"
article,1008033,John  English,,,,,,,,Automated Assessment of GUI Programs Using JEWL,137--141,,5,"automated assessment, graphical user interfaces, programming",10.1145/1026487.1008033,SIGCSE Bull.,September 2004,36,3,,June,2004,0097-8418,,,,,,ACM,"New York, NY, USA"
article,1008033,John  English,,,,,,,,Automated Assessment of GUI Programs Using JEWL,137--141,,5,"automated assessment, graphical user interfaces, programming",10.1145/1007996.1008033,,,,,,,2004,,Proceedings of the 9th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education,ITiCSE '04,,1-58113-836-9,"Leeds, United Kingdom",ACM,"New York, NY, USA"
article,2442019,Pramod  Verma,,,,,,,,Gracoli: A Graphical Command Line User Interface,273--278,,6,"command-line interface, gracoli",10.1145/2441955.2442019,,,,,,,2013,,Proceedings of the 2013 Conference on Computer Supported Cooperative Work Companion,CSCW '13,,978-1-4503-1332-2,"San Antonio, Texas, USA",ACM,"New York, NY, USA"
article,351250,Meurig  Sage,,,,,,,,FranTk - a Declarative GUI Language for Haskell,106--117,,12,"Haskell, functional reactive programming, graphical user interfaces",10.1145/357766.351250,SIGPLAN Not.,Sept. 2000,35,9,,September,2000,0362-1340,,,,,,ACM,"New York, NY, USA"
article,351250,Meurig  Sage,,,,,,,,FranTk - a Declarative GUI Language for Haskell,106--117,,12,"Haskell, functional reactive programming, graphical user interfaces",10.1145/351240.351250,,,,,,,2000,,Proceedings of the Fifth ACM SIGPLAN International Conference on Functional Programming,ICFP '00,,1-58113-202-6,,ACM,"New York, NY, USA"
article,2843364,Dale  Patterson,,,,,,,,"3D Spirals, Bubbles and Sliders: Setting Range Values in Multi-user 3D Environments",49:1--49:8,49,8,"3D user interface, collaborative interaction, graphical user interfaces, human computer interaction, user interface components",10.1145/2843043.2843364,,,,,,,2016,,Proceedings of the Australasian Computer Science Week Multiconference,ACSW '16,,978-1-4503-4042-7,"Canberra, Australia",ACM,"New York, NY, USA"
article,142986,Jakob  Nielsen and Rita M. Bush and Tom  Dayton and Nancy E. Mond and Michael J. Muller and Robert W. Root,,,,,,,,Teaching Experienced Developers to Design Graphical User Interfaces,557--564,,8,"GUI, PICTIVE, education, graphical user interfaces, heuristic evaluation, object-oriented interfaces, standards, transfer of skill",10.1145/142750.142986,,,,,,,1992,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '92,,0-89791-513-5,"Monterey, California, USA",ACM,"New York, NY, USA"
article,2480312,Chris  Branton and Brygg  Ullmer and Andre  Wiggins and Landon  Rogge and Narendra  Setty and Stephen David  Beck and Alex  Reeser,,,,,,,,"Toward Rapid and Iterative Development of Tangible, Collaborative, Distributed User Interfaces",239--248,,10,"distributed user interfaces, multi-device user interfaces, multi-platform user interfaces, software architecture, tangible interfaces",10.1145/2494603.2480312,,,,,,,2013,,Proceedings of the 5th ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '13,,978-1-4503-2138-9,"London, United Kingdom",ACM,"New York, NY, USA"
article,961585,Chuck  Leska,,,,,,,,Learning to Develop GUIs in Java Using Closed Labs,228--228,,1,"Java, closed labs, graphic user interfaces",10.1145/961290.961585,SIGCSE Bull.,September 2003,35,3,,June,2003,0097-8418,,,,,,ACM,"New York, NY, USA"
article,961585,Chuck  Leska,,,,,,,,Learning to Develop GUIs in Java Using Closed Labs,228--228,,1,"Java, closed labs, graphic user interfaces",10.1145/961511.961585,,,,,,,2003,,Proceedings of the 8th Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE '03,,1-58113-672-2,"Thessaloniki, Greece",ACM,"New York, NY, USA"
article,1622193,Paris  Smaragdis,,,,,,,,User Guided Audio Selection from Complex Sound Mixtures,89--92,,4,audio interfaces,10.1145/1622176.1622193,,,,,,,2009,,Proceedings of the 22Nd Annual ACM Symposium on User Interface Software and Technology,UIST '09,,978-1-60558-745-5,"Victoria, BC, Canada",ACM,"New York, NY, USA"
article,146489,Randy  Pausch and Matthew  Conway and Robert  Deline,,,,,,,,"Lessons Learned from SUIT, the Simple User Interface Toolkit",320--344,,25,"GUI, UIMS, export, graphical user interface, learnability, pedagogy, portability, rapid prototyping, software tools, user interface toolkit",10.1145/146486.146489,ACM Trans. Inf. Syst.,Oct. 1992,10,4,,October,1992,1046-8188,,,,,,ACM,"New York, NY, USA"
article,1943436,Ken  Perlin,,,,,,,,The Future of Human/Computer Interfaces,215--,,,user interfaces,10.1145/1943403.1943436,,,,,,,2011,,Proceedings of the 16th International Conference on Intelligent User Interfaces,IUI '11,,978-1-4503-0419-1,"Palo Alto, CA, USA",ACM,"New York, NY, USA"
article,1133369,Mariusz  Trzaska and Kazimierz  Subieta,,,,,,,,Mavigator: A Flexible Graphical User Interface to Data Sources,500--503,,4,"GUI, HCI, baskets, database views, graphical query interface, information browsing, information retrieval, navigation",10.1145/1133265.1133369,,,,,,,2006,,Proceedings of the Working Conference on Advanced Visual Interfaces,AVI '06,,1-59593-353-0,"Venezia, Italy",ACM,"New York, NY, USA"
article,1053445,Shigeru  Owada and Frank  Nielsen and Takeo  Igarashi,,,,,,,,Volume Catcher,111--116,,6,"segmentation, user interface, volume graphics",10.1145/1053427.1053445,,,,,,,2005,,Proceedings of the 2005 Symposium on Interactive 3D Graphics and Games,I3D '05,,1-59593-013-2,"Washington, District of Columbia",ACM,"New York, NY, USA"
article,128706,Steven  Feiner,,,,,,,,An Architecture for Knowledge-based Graphical Interfaces,259--279,,21,,10.1145/107215.128706,,,,,,,,,Intelligent User Interfaces,,,0-201-50305-0,,ACM,"New York, NY, USA"
article,275643,J. I. Helfman,,,,,,,,Panther: A Specification System for Graphical Controls,279--284,,6,"graphical controls, graphical interface specification, graphical user interfaces",10.1145/29933.275643,,,,,,,1987,,Proceedings of the SIGCHI/GI Conference on Human Factors in Computing Systems and Graphics Interface,CHI '87,,0-89791-213-6,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,275643,J. I. Helfman,,,,,,,,Panther: A Specification System for Graphical Controls,279--284,,6,"graphical controls, graphical interface specification, graphical user interfaces",10.1145/30851.275643,SIGCHI Bull.,May 1987,17,SI,,May,1986,0736-6906,,,,,,ACM,"New York, NY, USA"
article,275643,J. I. Helfman,,,,,,,,Panther: A Specification System for Graphical Controls,279--284,,6,"graphical controls, graphical interface specification, graphical user interfaces",10.1145/1165387.275643,SIGCHI Bull.,April 1987,18,4,,May,1986,0736-6906,,,,,,ACM,"New York, NY, USA"
article,2305502,Vi  Tran and Jean  Vanderdonckt and Ricardo  Tesoriero and Fran&#231;ois  Beuvens,,,,,,,,Systematic Generation of Abstract User Interfaces,101--110,,10,"abstract user interface, concrete user interface, graphical user interface, model-based user interface design, model-driven engineering, user interface description language, user interface extensible markup language",10.1145/2305484.2305502,,,,,,,2012,,Proceedings of the 4th ACM SIGCHI Symposium on Engineering Interactive Computing Systems,EICS '12,,978-1-4503-1168-7,"Copenhagen, Denmark",ACM,"New York, NY, USA"
book,83824,Harold  Thimbleby,,,,,,,,,,,,,,,,,,,,1990,,User Interface Design,,,0-201-41618-2,,ACM,"New York, NY, USA"
article,1281540,Takeo  Igarashi and John F. Hughes,,,,,,,,Clothing Manipulation,,29,,"clothing, user interface",10.1145/1281500.1281540,,,,,,,2007,,ACM SIGGRAPH 2007 Courses,SIGGRAPH '07,,978-1-4503-1823-5,"San Diego, California",ACM,"New York, NY, USA"
article,801131,"Dan R Olsen,Jr. and Elizabeth P. Dempsey",,,,,,,,SYNGRAPH: A Graphical User Interface Generator,43--50,,8,user interface management,10.1145/964967.801131,SIGGRAPH Comput. Graph.,July 1983,17,3,,July,1983,0097-8930,,,,,,ACM,"New York, NY, USA"
article,801131,"Dan R Olsen,Jr. and Elizabeth P. Dempsey",,,,,,,,SYNGRAPH: A Graphical User Interface Generator,43--50,,8,user interface management,10.1145/800059.801131,,,,,,,1983,,Proceedings of the 10th Annual Conference on Computer Graphics and Interactive Techniques,SIGGRAPH '83,,0-89791-109-1,"Detroit, Michigan, USA",ACM,"New York, NY, USA"
article,274499,Julie  Baca,,,,,,,,Comparing Effects of Navigational Interface Modalities on Speaker Prosodics,3--10,,8,"GUI access, displayless interfaces prosodies",10.1145/274497.274499,,,,,,,1998,,Proceedings of the Third International ACM Conference on Assistive Technologies,Assets '98,,1-58113-020-1,"Marina del Rey, California, USA",ACM,"New York, NY, USA"
article,2662322,Yanira  Gonz&#225;lez and Coromoto  Le&#243;n and Gara  Miranda and Javier  Villamonte,,,,,,,,Graphical User Interface for the Container Loading Problem: [An Aproach Using JavaScript],69:1--69:2,69,2,"Container Loading Problem, Graphical User Interface, Javascript",10.1145/2662253.2662322,,,,,,,2014,,Proceedings of the XV International Conference on Human Computer Interaction,Interacci&#243;n '14,,978-1-4503-2880-7,"Puerto de la Cruz, Tenerife, Spain",ACM,"New York, NY, USA"
article,1057047,"Beifang  Yi and Frederick C. Harris,Jr. and Sergiu M. Dascalu",,,,,,,,From Creating Virtual Gestures to Writing in Sign Languages,1885--1888,,4,"ASL, GUI, computer graphics, sign language interfacing",10.1145/1056808.1057047,,,,,,,2005,,CHI '05 Extended Abstracts on Human Factors in Computing Systems,CHI EA '05,,1-59593-002-7,"Portland, OR, USA",ACM,"New York, NY, USA"
article,1709932,Mike  Rooke and Roel  Vertegaal,,,,,,,,Physics on Display: Tangible Graphics on Hexagonal Bezel-less Screens,233--236,,4,"augmented reality, organic user interfaces, paper interfaces, tangible user interface",10.1145/1709886.1709932,,,,,,,2010,,"Proceedings of the Fourth International Conference on Tangible, Embedded, and Embodied Interaction",TEI '10,,978-1-60558-841-4,"Cambridge, Massachusetts, USA",ACM,"New York, NY, USA"
article,1229416,Dale  Patterson,,,,,,,,3D SPACE: Using Depth and Movement for Selection Tasks,147--155,,9,"3D, active interface, human computer interface, user interface",10.1145/1229390.1229416,,,,,,,2007,,Proceedings of the Twelfth International Conference on 3D Web Technology,Web3D '07,,978-1-59593-652-3,"Perugia, Italy",ACM,"New York, NY, USA"
article,1640378,Theofanis  Kannetis and Alexandros  Potamianos and Georgios N. Yannakakis,,,,,,,,"Fantasy, Curiosity and Challenge As Adaptation Indicators in Multimodal Dialogue Systems for Preschoolers",1:1--1:6,1,6,"children computer interaction, evaluation, graphical user interfaces, multimodal interfaces, speech interfaces",10.1145/1640377.1640378,,,,,,,2009,,"Proceedings of the 2Nd Workshop on Child, Computer and Interaction",WOCCI '09,,978-1-60558-690-8,"Cambridge, Massachusetts",ACM,"New York, NY, USA"
article,128690,Jeannette G. Neal and Stuart C. Shapiro,,,,,,,,Intelligent Multi-media Interface Technology,11--43,,33,,10.1145/107215.128690,,,,,,,,,Intelligent User Interfaces,,,0-201-50305-0,,ACM,"New York, NY, USA"
article,1363967,Claudio H. Yamamoto and Maria Cristina F. Oliveira and Solange O. Rezende,,,,,,,,Including the User in the Knowledge Discovery Loop: Interactive Itemset-driven Rule Extraction,1212--1217,,6,"association rules, graphical user interfaces (GUI), visual data mining",10.1145/1363686.1363967,,,,,,,2008,,Proceedings of the 2008 ACM Symposium on Applied Computing,SAC '08,,978-1-59593-753-7,"Fortaleza, Ceara, Brazil",ACM,"New York, NY, USA"
article,1943504,Tim  Hussein and Stephan  Lukosch and Juergen  Ziegler and Heiko  Paulheim and Gaelle  Calvary,,,,,,,,2Nd International Workshop on Semantic Models for Adaptive Interactive Systems (SEMAIS 2011),467--468,,2,"GUI, adaptivity, ontologies, semantic models, user interface",10.1145/1943403.1943504,,,,,,,2011,,Proceedings of the 16th International Conference on Intelligent User Interfaces,IUI '11,,978-1-4503-0419-1,"Palo Alto, CA, USA",ACM,"New York, NY, USA"
article,2814477,Helena  Dudycz,,,,,,,,Usability of Business Information Semantic Network Search Visualization,13:1--13:9,13,9,"Graphical User Interface, Semantic Network, Usability, User Interface",10.1145/2814464.2814477,,,,,,,2015,,"Proceedings of the Mulitimedia, Interaction, Design and Innnovation",MIDI '15,,978-1-4503-3601-7,"Warsaw, Poland",ACM,"New York, NY, USA"
article,274721,James L. Alty and Dimitrios I. Rigas,,,,,,,,Communicating Graphical Information to Blind Users Using Music: The Role of Context,574--581,,8,"blind users, empirical, graphics, interface design, music",10.1145/274644.274721,,,,,,,1998,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '98,,0-201-30987-4,"Los Angeles, California, USA",ACM Press/Addison-Wesley Publishing Co.,"New York, NY, USA"
article,1413722,Eleni  Romoudi and Theodosia  Fokidou,,,,,,,,Designing GUI for the User Configuration of Pervasive Awareness Applications,492--495,,4,"elderly people, end user tools, graphical user interfaces GUI, pervasive awareness applications, teenagers",10.1145/1413634.1413722,,,,,,,2008,,Proceedings of the 3rd International Conference on Digital Interactive Media in Entertainment and Arts,DIMEA '08,,978-1-60558-248-1,"Athens, Greece",ACM,"New York, NY, USA"
article,275628,Thomas G. Zimmerman and Jaron  Lanier and Chuck  Blanchard and Steve  Bryson and Young  Harvill,,,,,,,,A Hand Gesture Interface Device,189--192,,4,"gesture recognition, human interface, motor interface, tactile interface, user interface",10.1145/29933.275628,,,,,,,1987,,Proceedings of the SIGCHI/GI Conference on Human Factors in Computing Systems and Graphics Interface,CHI '87,,0-89791-213-6,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,275628,Thomas G. Zimmerman and Jaron  Lanier and Chuck  Blanchard and Steve  Bryson and Young  Harvill,,,,,,,,A Hand Gesture Interface Device,189--192,,4,"gesture recognition, human interface, motor interface, tactile interface, user interface",10.1145/1165387.275628,SIGCHI Bull.,April 1987,18,4,,May,1986,0736-6906,,,,,,ACM,"New York, NY, USA"
