Key,Item Type,Publication Year,Author,1,Title,Fonte,TipoDoLink,TrataSobreGUI,Publication Title,AssuntoGUI,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
MC9WPUNJ,conferencePaper,2013,"Baciková, Michaela; Porubän, Jaroslav; Lakatos, Dominik",22,Defining domain language of graphical user interfaces,,,,OASIcs-OpenAccess Series in Informatics,,,,,http://drops.dagstuhl.de/opus/volltexte/2013/4038/,,2013,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,,,,29,,,,,,,,Schloss Dagstuhl-Leibniz-Zentrum fuer Informatik,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/9IGHE6Z8/Baciková et al. - 2013 - Defining domain language of graphical user interfa.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/4CMDJZVS/4038.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBQMXHQ6,journalArticle,2012,"Mathôt, Sebastiaan; Schreij, Daniel; Theeuwes, Jan",23,"OpenSesame: An open-source, graphical experiment builder for the social sciences",,,,Behavior research methods,,,,,http://link.springer.com/article/10.3758/s13428-011-0168-7,,2012,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,314–324,,2,44,,,OpenSesame,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/DDD2MJEQ/fulltext.html; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/DFI25MUG/s13428-011-0168-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJXQ5WZH,conferencePaper,2012,"Olaverri-Monreal, Cristina; Gomes, Pedro; Silvéria, Michelle Krüger; Ferreira, Michel",24,In-vehicle virtual traffic lights: a graphical user interface,,,,"Information Systems and Technologies (CISTI), 2012 7th Iberian Conference on",,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6263090,,2012,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,1–6,,,,,,In-vehicle virtual traffic lights,,,,,IEEE,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/4HFSJN5A/6263090.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3NTAJ5MG,conferencePaper,2012,"Voellmy, Andreas; Kim, Hyojoon; Feamster, Nick",25,Procera: a language for high-level reactive network control,,,,Proceedings of the first workshop on Hot topics in software defined networks,,,,,http://dl.acm.org/citation.cfm?id=2342451,,2012,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,43–48,,,,,,Procera,,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/XG5V7N3H/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEBTPTRE,conferencePaper,2016,"Patterson, Dale",26,"3D spirals, bubbles and sliders: setting range values in multi-user 3D environments",,,,Proceedings of the Australasian Computer Science Week Multiconference,,,,,http://dl.acm.org/citation.cfm?id=2843364,,2016,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,49,,,,,,"3D spirals, bubbles and sliders",,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/H6NN3NGB/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STB7AGX8,conferencePaper,2013,"Leithinger, Daniel; Follmer, Sean; Olwal, Alex; Luescher, Samuel; Hogge, Akimitsu; Lee, Jinha; Ishii, Hiroshi",27,Sublimate: state-changing virtual and physical rendering to augment interaction with shape displays,,,,Proceedings of the SIGCHI conference on human factors in computing systems,,,,,http://dl.acm.org/citation.cfm?id=2466191,,2013,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,1441–1450,,,,,,Sublimate,,,,,ACM,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/UPD7DAJI/Leithinger et al. - 2013 - Sublimate state-changing virtual and physical ren.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/23PNKWPC/citation.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W87M2SNR,journalArticle,2013,"Wang, Shaowen; Anselin, Luc; Bhaduri, Budhendra; Crosby, Christopher; Goodchild, Michael F.; Liu, Yan; Nyerges, Timothy L.",28,CyberGIS software: a synthetic review and integration roadmap,,,,International Journal of Geographical Information Science,,,,,http://www.tandfonline.com/doi/abs/10.1080/13658816.2013.776049,,2013,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,2122–2145,,11,27,,,CyberGIS software,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/ZKBBI2W7/13658816.2013.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEZEGCAG,journalArticle,2012,"Sucan, Ioan A.; Moll, Mark; Kavraki, Lydia E.",29,The open motion planning library,,,,IEEE Robotics & Automation Magazine,,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6377468,,2012,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,72–82,,4,19,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/G44EUVGW/6377468.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTGE7NX4,journalArticle,2013,"Rink, Karsten; Fischer, Thomas; Selle, Benny; Kolditz, Olaf",30,A data exploration framework for validation and setup of hydrological models,,,,Environmental earth sciences,,,,,http://link.springer.com/article/10.1007/s12665-012-2030-3,,2013,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,469–477,,2,69,,,,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/M4W3P65W/Rink et al. - 2013 - A data exploration framework for validation and se.pdf; /home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/ICHEN7GE/s12665-012-2030-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58FXVK8V,journalArticle,2013,"Piyare, Rajeev",31,Internet of things: Ubiquitous home control and monitoring system using Android based smart phone,,,,International Journal of Internet of Things,,,,,http://article.sapub.org/10.5923.j.ijit.20130201.02.html,,2013,2016-09-06 20:57:58,2016-09-06 20:57:58,2016-09-06 20:57:58,5–11,,1,2,,,Internet of things,,,,,,,,,,,,Google Scholar,,,,/home/wagner/.mozilla/firefox/owkxzo1u.default/zotero/storage/TPTE6MX4/10.5923.j.ijit.20130201.02.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
